,기준연도,법인등록번호,기업명,고유번호,직급_x,해당직급 직원수_x,직급_y,해당직급 직원수_y,직급_x,해당직급 직원수_x,직급_y,해당직급 직원수_y,직급_x,해당직급 직원수_x,직급_y,해당직급 직원수_y,직급,해당직급 직원수,총직원수
0,201203,1101110003204,한화생명보험주식회사,0010593,임직원,4339,임직원_임원,8,임직원_이사대우,52,임직원_직원,4279,등록 설계사,23844,등록 설계사_전속 설계사,21653,등록 설계사_교차모집 설계사,2191,56366
1,201203,1101110007032,에이비엘생명보험주식회사,0010594,임직원,1674,임직원_임원,8,임직원_이사대우,23,임직원_직원,1643,등록 설계사,6726,등록 설계사_전속 설계사,6601,등록 설계사_교차모집 설계사,125,16800
2,201203,1101110005953,삼성생명보험주식회사,0010595,임직원,6357,임직원_임원,8,임직원_이사대우,80,임직원_직원,6269,등록 설계사,42697,등록 설계사_전속 설계사,39769,등록 설계사_교차모집 설계사,2928,98108
3,201203,1101110018443,흥국생명보험주식회사,0010596,임직원,509,임직원_임원,5,임직원_이사대우,9,임직원_직원,495,등록 설계사,4579,등록 설계사_전속 설계사,3482,등록 설계사_교차모집 설계사,1097,10176
4,201203,1101110014970,교보생명보험주식회사,0010597,임직원,4476,임직원_임원,8,임직원_이사대우,36,임직원_직원,4432,등록 설계사,22338,등록 설계사_전속 설계사,19480,등록 설계사_교차모집 설계사,2858,53628
5,201203,1101110667498,신한생명보험주식회사,0010599,임직원,1340,임직원_임원,7,임직원_이사대우,19,임직원_직원,1314,등록 설계사,8632,등록 설계사_전속 설계사,8512,등록 설계사_교차모집 설계사,120,19944
6,201203,1801110078443,DGB생명보험주식회사,0010605,임직원,350,임직원_임원,9,임직원_이사대우,5,임직원_직원,336,등록 설계사,1664,등록 설계사_전속 설계사,1610,등록 설계사_교차모집 설계사,54,4028
7,201203,2001110014608,케이디비생명보험주식회사,0010607,임직원,871,임직원_임원,9,임직원_이사대우,13,임직원_직원,849,등록 설계사,4896,등록 설계사_전속 설계사,4793,등록 설계사_교차모집 설계사,103,11534
8,201203,1601110014483,미래에셋생명보험주식회사,0010608,임직원,1434,임직원_임원,7,임직원_이사대우,47,임직원_직원,1380,등록 설계사,6632,등록 설계사_전속 설계사,6440,등록 설계사_교차모집 설계사,192,16132
9,201203,1101116429884,에이아이에이생명보험 주식회사,0010615,임직원,624,임직원_임원,1,임직원_이사대우,28,임직원_직원,595,등록 설계사,1137,등록 설계사_전속 설계사,1113,등록 설계사_교차모집 설계사,24,3522
10,201203,1101110633712,푸르덴셜생명보험주식회사,0010616,임직원,513,임직원_임원,9,임직원_이사대우,16,임직원_직원,488,등록 설계사,2078,등록 설계사_전속 설계사,2078,등록 설계사_교차모집 설계사,0,5182
11,201203,1101110803092,오렌지라이프생명보험 주식회사,0010617,임직원,1052,임직원_임원,7,임직원_이사대우,34,임직원_직원,1011,등록 설계사,6674,등록 설계사_전속 설계사,6674,등록 설계사_교차모집 설계사,0,15452
12,201203,1101110818463,하나생명보험주식회사,0010618,임직원,240,임직원_임원,7,임직원_이사대우,3,임직원_직원,230,등록 설계사,419,등록 설계사_전속 설계사,419,등록 설계사_교차모집 설계사,0,1318
13,201203,1101110623606,DB생명보험주식회사,0010619,임직원,533,임직원_임원,5,임직원_이사대우,9,임직원_직원,519,등록 설계사,3235,등록 설계사_전속 설계사,1444,등록 설계사_교차모집 설계사,1791,7536
14,201203,1101110631154,메트라이프생명보험(주),0010620,임직원,634,임직원_임원,7,임직원_이사대우,13,임직원_직원,614,등록 설계사,7056,등록 설계사_전속 설계사,7056,등록 설계사_교차모집 설계사,0,15380
15,201203,1101110624688,동양생명보험주식회사,0010622,임직원,773,임직원_임원,9,임직원_이사대우,15,임직원_직원,749,등록 설계사,4144,등록 설계사_전속 설계사,3941,등록 설계사_교차모집 설계사,203,9834
16,201203,1101110705322,PCA생명보험주식회사,0010624,임직원,383,임직원_임원,6,임직원_이사대우,18,임직원_직원,359,등록 설계사,1361,등록 설계사_전속 설계사,1361,등록 설계사_교차모집 설계사,0,3488
17,201203,1101110709232,처브라이프생명보험주식회사,0010625,임직원,256,임직원_임원,5,임직원_이사대우,6,임직원_직원,245,등록 설계사,970,등록 설계사_전속 설계사,970,등록 설계사_교차모집 설계사,0,2452
18,201203,1101112620121,비엔피파리바카디프생명보험주식회사,0011226,임직원,140,임직원_임원,8,임직원_이사대우,7,임직원_직원,125,등록 설계사,0,등록 설계사_전속 설계사,0,등록 설계사_교차모집 설계사,0,280
19,201203,1101112762668,푸본현대생명보험주식회사,0011320,임직원,426,임직원_임원,8,임직원_이사대우,13,임직원_직원,405,등록 설계사,1093,등록 설계사_전속 설계사,1089,등록 설계사_교차모집 설계사,4,3038
20,201203,1101113003699,KB생명보험주식회사,0011388,임직원,288,임직원_임원,8,임직원_이사대우,6,임직원_직원,274,등록 설계사,1286,등록 설계사_전속 설계사,1286,등록 설계사_교차모집 설계사,0,3148
21,201203,1101112940751,라이나생명보험주식회사,0011434,임직원,645,임직원_임원,4,임직원_이사대우,22,임직원_직원,619,등록 설계사,2330,등록 설계사_전속 설계사,2330,등록 설계사_교차모집 설계사,0,5950
22,201203,1101114390376,아이비케이연금보험 주식회사,0012455,임직원,106,임직원_임원,3,임직원_이사대우,4,임직원_직원,99,등록 설계사,0,등록 설계사_전속 설계사,0,등록 설계사_교차모집 설계사,0,212
23,201203,1101114809377,농협생명보험주식회사,0013173,임직원,652,임직원_임원,7,임직원_이사대우,2,임직원_직원,643,등록 설계사,1402,등록 설계사_전속 설계사,1402,등록 설계사_교차모집 설계사,0,4108
0,201206,1101110003204,한화생명보험주식회사,0010593,임직원,4337,임직원_임원,8,임직원_이사대우,46,임직원_직원,4283,등록 설계사,23715,등록 설계사_전속 설계사,21668,등록 설계사_교차모집 설계사,2047,56104
1,201206,1101110007032,에이비엘생명보험주식회사,0010594,임직원,1673,임직원_임원,6,임직원_이사대우,22,임직원_직원,1645,등록 설계사,6953,등록 설계사_전속 설계사,6842,등록 설계사_교차모집 설계사,111,17252
2,201206,1101110005953,삼성생명보험주식회사,0010595,임직원,6427,임직원_임원,9,임직원_이사대우,78,임직원_직원,6340,등록 설계사,42871,등록 설계사_전속 설계사,40063,등록 설계사_교차모집 설계사,2808,98596
3,201206,1101110018443,흥국생명보험주식회사,0010596,임직원,515,임직원_임원,7,임직원_이사대우,12,임직원_직원,496,등록 설계사,4943,등록 설계사_전속 설계사,3874,등록 설계사_교차모집 설계사,1069,10916
